Year,Date,Title,Words,URLs,Categories
2008,05-09-2008,"Use Microsoft Word As A Desktop Blogging Client &#8211; Publish Blog Posts To WordPress Or Blogger Blogs",643,https://www.ampercent.com/post-to-your-blog-from-ms-word-2007/17/,General
2008,05-09-2008,"What Makes Google Chrome Different from Firefox And IE ?",691,https://www.ampercent.com/what-makes-google-chrome-different-from-firefox-and-ie/28/,General
2008,07-09-2008,"How to Connect D-Link ADSL modem via USB for BSNL Broadband.",477,https://www.ampercent.com/how-to-connect-d-link-adsl-modem-via-usb-for-bsnl-broadband/56/,General
2008,13-09-2008,"Make A Read Only Word Document In Microsoft Office 2007",483,https://www.ampercent.com/encrypt-word-documents-stop-editing/359/,General
2008,27-09-2008,"Add Audio Files In Microsoft Word Documents &#8211; Insert Speech Narration Or Music Files In Microsoft Word",842,https://www.ampercent.com/add-audio-music-speech-word-documents/382/,General
2008,05-10-2008,"Speed Up Internet Explorer For Better Performance, Fix Slow Internet Explorer Startup Problem",1013,https://www.ampercent.com/speed-up-internet-for-ie7-perfprmance/234/,General
2008,07-10-2008,"5 Online Tools to Turn Videos and Images into Cartoons!",719,https://www.ampercent.com/turn-images-videos-to-cartoons-befunky/226/,General
2008,21-10-2008,"Add Text and Voice Comments in Word 2007-Make Notes/Proofread",554,https://www.ampercent.com/add-text-voice-comments-word-proofread/337/,General
2008,25-10-2008,"Set File and Folder Permissions for Specific users in XP/Vista",528,https://www.ampercent.com/set-file-folder-permissions-xp-vista/399/,General
2008,07-11-2008,"Turn Off Auto Play on CD/DVD Drives and USB Storage in Windows XP and Windows7",734,https://www.ampercent.com/turnoff-autoplay-on-cd-drives-removable-usb/173/,General
2008,13-11-2008,"An Interview With Arpit Kumar from Techraga",592,https://www.ampercent.com/interview-arpit-kumar-techraga/923/,General
2008,30-11-2008,"Find Broken Links and Missing Images On Your WordPress Site",907,https://www.ampercent.com/find-broken-links-in-wordpress-blog/689/,General
2008,16-12-2008,"Defragment Multiple Hard Drive Partitions In Windows Without Using Any Software",674,https://www.ampercent.com/defrag-multriple-hard-drives-windows/738/,General
2008,18-12-2008,"Speed Up Mozilla Firefox 150x+ times",562,https://www.ampercent.com/mozilla-firefox-150x-times-faster/975/,General
2008,20-12-2008,"An Interview With Manikarthik :Seo Blogger from Daily Seo Blog",991,https://www.ampercent.com/interview-manikarthik-dailyseoblog/1032/,General
2009,06-01-2009,"Install WordPress Locally in your Computer with Wamp Server",630,https://www.ampercent.com/install-wordpress-computer-wamp-server/1079/,General
2009,06-01-2009,"Create an Automated List of latest posts from your Favorite Blogs using Yahoo pipes",490,https://www.ampercent.com/merge-multiple-blog-feeds/1147/,General
2009,12-01-2009,"Take Maximum advantage of the All in One Seo Pack Plugin",513,https://www.ampercent.com/all-in-one-seo-setting/1087/,General
2009,15-01-2009,"69 Useful Ping Services to Ping after you post",655,https://www.ampercent.com/useful-ping-services/1126/,General
2009,03-02-2009,"Portable Feed Reader – Carry and Update RSS Feeds from a USB Stick",611,https://www.ampercent.com/portable-rss-feed-reader-usb/1323/,General
2009,04-02-2009,"Exclude Posts of Certain Categories From The Homepage Of A WordPress Blog",663,https://www.ampercent.com/exclude-category-posts-blog-homepage/1318/,General
2009,05-02-2009,"Do Not Experiment On your Main PC – Get Free Virtual PC for Windows",768,https://www.ampercent.com/free-virtual-pc-windows/1315/,General
2009,17-02-2009,"13 Steps to Completely secure your WordPress blog",1317,https://www.ampercent.com/completely-secure-wordpress-blog/1426/,General
2009,06-03-2009,"Mozilla Songbird : Cross platform Music player that can Browse the Web",476,https://www.ampercent.com/mozilla-songbird-music-player/1549/,General
2009,13-03-2009,"Soumya Mukerji : A journalist from Delhi shares her blogging experience",1244,https://www.ampercent.com/interview-with-soumya-mukerji/1562/,General
2009,16-03-2009,"Translate PDF Files and Office Documents with Google Translate",492,https://www.ampercent.com/translate-pdf-office-documents-online/1613/,General
2009,27-03-2009,"How to configure outlook 2007 for Google Apps and G mail ?",535,https://www.ampercent.com/configure-outlook-2007-google-apps-gmail/1223/,General
2009,28-03-2009,"Completely Back up Your Firefox Settings, Installed Add-ons, Bookmarks and Saved passwords",672,https://www.ampercent.com/back-up-firefox-settings-add-ons-bookmarks-passwords/1301/,General
2009,04-04-2009,"Launchy : An efficient way to Search and Open Programs, Websites, Files and Folders",464,https://www.ampercent.com/launchy-open-programs-websites-files-and-folders/1478/,General
2009,20-04-2009,"How to Create a Featured Intro section in WordPress Blog homepage",902,https://www.ampercent.com/create-featured-intro-section-wordpress-blog/1984/,General
